Region,Text-to-text pricing,,model,input_price,output_price,Max RPM,Max TPM,Filter for RPM Table (Workload-1),Filter for RPM Table (Workload-2),Filter for RPM Table (Workload-3),Filter for TPM Table (Workload-1),Filter for TPM Table (Workload-2),Filter for TPM Table (Workload-3),,
London,Cohere Embed Multilingual,London|Cohere Embed Multilingual,,0.100000,, -   ," 2,000 ",,,,,,,,
Paris,Titan Embeddings - Multimodal,Paris|Titan Embeddings - Multimodal,,1.000000,0.080000, 0 ," 2,000 ",,,,,,,,
Paris,Cohere Embed English,Paris|Cohere Embed English,,0.100000,, -   ," 2,000 ",,,,,,,,
Paris,Cohere Embed Multilingual,Paris|Cohere Embed Multilingual,,0.100000,, -   ," 2,000 ",,,,,,,,
Frankfurt,Titan Embeddings - Text,Frankfurt|Titan Embeddings - Text,,0.200000,, -   ," 2,000 ",,,,,,,,
Frankfurt,Titan Embeddings V2 - Text,Frankfurt|Titan Embeddings V2 - Text,,0.020000,, -   ," 2,000 ",,,,,,,,
Frankfurt,Titan Embeddings - Multimodal,Frankfurt|Titan Embeddings - Multimodal,,1.000000,0.080000, 0 ," 2,000 ",,,,,,,,
Frankfurt,Cohere Embed English,Frankfurt|Cohere Embed English,,0.100000,, -   ," 2,000 ",,,,,,,,
Frankfurt,Cohere Embed Multilingual,Frankfurt|Cohere Embed Multilingual,,0.100000,, -   ," 2,000 ",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Image Generator Models,,,,,,,,,,,,,,,
Region,Text-to-Image pricing,Region|Text-to-Image pricing,,Price per Image,Max RPM,,,Filter  (Workload-1),Filter  (Workload-2),Filter  (Workload-3),,,,,
N.Virginia,Titan Image Gen (512x512) - Standard,N.Virginia|Titan Image Gen (512x512) - Standard,,0.008000,60.000000,,,#REF!,#REF!,#REF!,,,,,
N.Virginia,Titan Image Gen (1024x1024) - Standard,N.Virginia|Titan Image Gen (1024x1024) - Standard,,0.010000,60.000000,,,,,,,,,,
N.Virginia,SDXL 1.0 (<1024x1024),N.Virginia|SDXL 1.0 (<1024x1024),,0.040000,60.000000,,,,,,,,,,
Oregon,Titan Image Gen (512x512) - Standard,Oregon|Titan Image Gen (512x512) - Standard,,0.008000,0.008000,,,,,,,,,,
Oregon,Titan Image Gen (1024x1024) - Standard,Oregon|Titan Image Gen (1024x1024) - Standard,,0.010000,0.010000,,,,,,,,,,
Oregon,SDXL 1.0 (<1024x1024),Dublin|Claude 3 Sonnet,,0.040000,0.040000,,,,,,,,,,
Oregon,SD3 Large,Dublin|Claude 3 Sonnet,,0.080000,15.000000,,,,,,,,,,
Oregon,Stable Image Core,Dublin|Claude 3 Sonnet,,0.040000,90.000000,,,,,,,,,,
Oregon,Stable Image Ultra,Oregon|Stable Image Ultra,,0.140000,10.000000,,,,,,,,,,
Mumbai,Titan Image Gen (512x512) - Standard,Mumbai|Titan Image Gen (512x512) - Standard,,0.010000,0.008000,,,,,,,,,,
Mumbai,Titan Image Gen (1024x1024) - Standard,Mumbai|Titan Image Gen (1024x1024) - Standard,,0.012000,0.010000,,,,,,,,,,
Dublin,Titan Image Gen (512x512) - Standard,Dublin|Titan Image Gen (512x512) - Standard,,0.010000,0.008000,,,,,,,,,,
